Code,Description,Active
"3931",Musical Instruments,true
"3942",Dolls And Stuffed Toys,true
"3944","Games, Toys, And Children's Vehicles",true
"3949",Sporting And Athletic Goods,true
"3951",Pens And Mechanical Pencils,true
"3952",Lead Pencils And Art Goods,true
"3953",Marking Devices,true
"3955",Carbon Paper And Inked Ribbons,true
"3961",Costume Jewelry,true
"3965","Fasteners, Buttons, Needles, & Pins",true
"3991",Brooms And Brushes,true
"3993",Signs And Advertising Specialities,true
"3995",Burial Caskets,true
"3996",Hard Surface Floor Coverings,true
"3999",Manufacturing Industries,true
"4011","Railroads, Line-Haul Operating",true
"4013",Switching And Terminal Services,true
"4110",Legacy Docket Conv,false
"4111",Local And Suburban Transit,true
"4119",Local Passenger Transportation,true
"4121",Taxicabs,true
"4131",Intercity & Rural Bus Transportation,true
"4141",Local Bus Charter Service,true
"4142","Bus Charter Service, Except Local",true
"4151",School Buses,true
"4173",Bus Terminal And Service Facilities,true
"4212","Local Trucking, Without Storage",true
"4213","Trucking, Except Local",true
"4214",Local Trucking With Storage,true
"4215","Courier Services, Except By Air",true
"4221",Farm Product Warehousing And Storage,true
"4222",Refrigerated Warehousing And Storage,true
"4224",Legacy Docket Conv,false
"4225",General Warehousing And Storage,true
"4226",Special Warehousing And Storage,true
"4231",Trucking Terminal Facilities,true
"4311",U.S. Postal Service,true
"4412",Deep Sea Foreign Trans. Of Freight,true
"4423",Legacy Docket Conv,false
"4424",Deep Sea Domestic Trans. Of Freight,true
"4425",Legacy Docket Conv,false
"4432",Freight Trans. On The Great Lakes,true
"4441",Legacy Docket Conv,false
"4449",Water Transportation Of Freight,true
"4452",Legacy Docket Conv,false
"4469",Legacy Docket Conv,false
"4481","Deep Sea Passenger Trans., Except Ferry",true
"4482",Ferries,true
"4489",Water Passenger Transportation,true
"4491",Marine Cargo Handling,true
"4492",Towing And Tugboat Service,true
"4493",Marinas,true
"4499",Water Transportation Services,true
"4511",Legacy Docket Conv,false
"4512","Air Transportation, Scheduled",true
"4513",Air Courier Services,true
"4521",Legacy Docket Conv,false
"4522","Air Transportation, Nonscheduled",true
"4581","Airports, Flying Fields, & Services",true
"4582",Legacy Docket Conv,false
"4612",Crude Petroleum Pipelines,true
"4613",Refined Petroleum Pipelines,true
"4619",Pipelines,true
"4722",Legacy Docket Conv,false
"4723",Legacy Docket Conv,false
"4724",Travel Agencies,true
"4725",Tour Operators,true
"4729",Passenger Transport Arrangement,true
"4731",Freight Transportation Arrangement,true
"4741",Rental Of Railroad Cars,true
